code,lat,lon
AT,48.211299,16.376093
AT,48.205817,16.385848
AT,48.184985,16.377522
AT,48.220408,16.347473
AT,48.240344,16.386985
AT,48.243246,16.434104
AT,48.111793,16.318671
AT,48.125435,16.555225
AT,47.979619,16.850464
SK,48.205602,17.033937
SK,48.143416,17.107639
SK,48.132755,17.108082
SK,48.140456,17.120988
SK,48.162257,17.129365
SK,48.164931,17.181494
CZ,48.762737,16.062601
BE,50.89737,4.4851
BE,50.90035,4.48431
BE,50.869313,4.481211
BE,50.838031,4.406705
BE,50.842313,4.383166
BE,50.860649,4.360097
BE,50.855229,4.358321
BE,50.840911,4.36389
BE,50.84556,4.35694
BE,50.834332,4.35234
BE,50.835177,4.335222
BE,50.831921,4.33318
BE,50.852036,4.658462
BE,50.853742,4.659964
BE,50.881641,4.71445
BE,51.201311,4.433957
BE,51.183973,4.290078
BE,51.185398,4.290357
BE,51.21722,4.42111
BE,51.219967,4.421289
BE,51.219631,4.401097
BE,50.970831,3.845277
BE,50.970013,3.840391
BE,50.46852,4.863315
BE,51.036384,3.716252
BE,51.054399,3.7219
BE,50.931014,5.32741
BE,51.420201,4.706803
BE,50.452517,3.805738
BE,50.451737,3.805375
NL,51.499901,4.741532
NL,51.596072,4.779727
BG,42.530403,27.457174
BG,42.512744,27.455137
BG,42.68993,23.331432
BG,42.695597,23.324876
BG,42.68613,23.321456
BG,42.692343,23.354612
BG,42.657089,23.315611
BG,42.664692,23.288345
BG,42.66447,23.288586
BG,42.66049,23.382437
BG,42.624704,23.352377
BH,26.24169,50.58798
BH,26.23658,50.57716
BH,26.243932,50.574414
BH,26.244221,50.574457
BH,26.244529,50.574478
BH,26.228574,50.586088
BH,26.228516,50.58614
BH,26.228516,50.58605
BH,26.233385,50.574907
BH,26.24934,50.6105
BH,26.22067,50.578768
BH,26.219166,50.578336
BH,26.225312,50.608512
BH,26.216667,50.583333
BH,26.216747,50.603428
BH,26.215462,50.60109
BH,26.212744,50.584297
BH,26.23492,50.55467
BH,26.235483,50.554526
BH,26.23492,50.55458
BH,26.21311,50.568327
BH,26.232302,50.550884
BH,26.21165,50.60773
BH,26.2064,50.57619
BH,26.224871,50.547042
BH,26.20127,50.59515
BH,26.22069,50.54566
BH,26.27006,50.626086
BH,26.266343,50.630387
BH,26.22982,50.53717
BH,26.23253,50.53644
BH,26.214997,50.523915
BH,26.168627,50.553161
BH,26.218465,50.483554
BH,26.14469,50.57902
BH,26.137163,50.519516
BH,26.162678,50.470059
BH,26.158698,50.469627
BH,26.162656,50.453172
SA,26.2886,50.22068
SA,26.219471,50.217619
SA,26.317315,50.222865
SA,26.288679,50.216117
SA,26.220761,50.212941
SA,26.31991,50.220566
SA,26.310891,50.212992
SA,26.310882,50.21296
SA,26.334299,50.211849
SA,26.205607,50.196507
SA,26.30452,50.1993
SA,26.201982,50.195237
SA,26.19065,50.187955
BS,25.07408,-77.31635
BS,25.08253,-77.31924
BS,25.06786,-77.32793
BS,25.085204,-77.32393
BS,25.086859,-77.322974
BS,25.08595,-77.32776
BS,25.077848,-77.341977
BS,25.07846,-77.34193
BS,25.033346,-77.353438
BS,25.06929,-77.39309
BS,25.070557,-77.396911
BS,25.070852,-77.39732
BS,25.048872,-77.465433
CA,49.841375,-119.487573
CA,49.860292,-119.490895
CA,49.871984,-119.474837
CA,49.883944,-119.490856
CA,49.883909,-119.476125
CA,49.885817,-119.489366
CA,49.882748,-119.449967
CA,49.880755,-119.440845
CA,49.887107,-119.426967
CA,49.909525,-119.44992
CA,49.895743,-119.413248
CA,49.889114,-119.386436
CA,49.8375,-119.615532
